Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1988","1988","3050","FAO TIER 1","tonnes","23573008","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1988","1988","3050","FAO TIER 1","kilotonnes","1.6501","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1988","1988","3050","FAO TIER 1","kilotonnes","63.6471","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1989","1989","3050","FAO TIER 1","tonnes","26216000","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1989","1989","3050","FAO TIER 1","kilotonnes","1.8351","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1989","1989","3050","FAO TIER 1","kilotonnes","70.7832","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1990","1990","3050","FAO TIER 1","tonnes","27094800","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1990","1990","3050","FAO TIER 1","kilotonnes","1.8966","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1990","1990","3050","FAO TIER 1","kilotonnes","73.156","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1991","1991","3050","FAO TIER 1","tonnes","27851580","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1991","1991","3050","FAO TIER 1","kilotonnes","1.9496","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1991","1991","3050","FAO TIER 1","kilotonnes","75.1993","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1992","1992","3050","FAO TIER 1","tonnes","29168840","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1992","1992","3050","FAO TIER 1","kilotonnes","2.0418","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1992","1992","3050","FAO TIER 1","kilotonnes","78.7559","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1993","1993","3050","FAO TIER 1","tonnes","25468360","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1993","1993","3050","FAO TIER 1","kilotonnes","1.7828","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1993","1993","3050","FAO TIER 1","kilotonnes","68.7646","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1994","1994","3050","FAO TIER 1","tonnes","29345690","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1994","1994","3050","FAO TIER 1","kilotonnes","2.0542","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1994","1994","3050","FAO TIER 1","kilotonnes","79.2334","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1995","1995","3050","FAO TIER 1","tonnes","26389830","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1995","1995","3050","FAO TIER 1","kilotonnes","1.8473","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1995","1995","3050","FAO TIER 1","kilotonnes","71.2525","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1996","1996","3050","FAO TIER 1","tonnes","29398300","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1996","1996","3050","FAO TIER 1","kilotonnes","2.0579","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1996","1996","3050","FAO TIER 1","kilotonnes","79.3754","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1997","1997","3050","FAO TIER 1","tonnes","29409230","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1997","1997","3050","FAO TIER 1","kilotonnes","2.0586","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1997","1997","3050","FAO TIER 1","kilotonnes","79.4049","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1998","1998","3050","FAO TIER 1","tonnes","29376040","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1998","1998","3050","FAO TIER 1","kilotonnes","2.0563","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1998","1998","3050","FAO TIER 1","kilotonnes","79.3153","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1999","1999","3050","FAO TIER 1","tonnes","28525380","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1999","1999","3050","FAO TIER 1","kilotonnes","1.9968","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1999","1999","3050","FAO TIER 1","kilotonnes","77.0185","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2000","2000","3050","FAO TIER 1","tonnes","29315740","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2000","2000","3050","FAO TIER 1","kilotonnes","2.0521","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2000","2000","3050","FAO TIER 1","kilotonnes","79.1525","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2001","2001","3050","FAO TIER 1","tonnes","27829720","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2001","2001","3050","FAO TIER 1","kilotonnes","1.9481","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2001","2001","3050","FAO TIER 1","kilotonnes","75.1402","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2002","2002","3050","FAO TIER 1","tonnes","28057160","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2002","2002","3050","FAO TIER 1","kilotonnes","1.964","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2002","2002","3050","FAO TIER 1","kilotonnes","75.7543","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2003","2003","3050","FAO TIER 1","tonnes","28710330","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2003","2003","3050","FAO TIER 1","kilotonnes","2.0097","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2003","2003","3050","FAO TIER 1","kilotonnes","77.5179","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2004","2004","3050","FAO TIER 1","tonnes","29797730","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2004","2004","3050","FAO TIER 1","kilotonnes","2.0858","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2004","2004","3050","FAO TIER 1","kilotonnes","80.4539","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2005","2005","3050","FAO TIER 1","tonnes","30399100","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2005","2005","3050","FAO TIER 1","kilotonnes","2.1279","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2005","2005","3050","FAO TIER 1","kilotonnes","82.0776","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2006","2006","3050","FAO TIER 1","tonnes","28586490","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2006","2006","3050","FAO TIER 1","kilotonnes","2.0011","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2006","2006","3050","FAO TIER 1","kilotonnes","77.1835","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2007","2007","3050","FAO TIER 1","tonnes","35013780","E","Estimated value",""
