text,author_id,created_at,lang
RT @goddessfabu: 🌹Happy Spooky Season and Halloween! What is your favorite thing about Fall? #halloween #blackcat #spookyseason #gothic #go…,1351350575523270656,2022-10-09 20:03:36+00:00,en
RT @TheVeganDrakon: #AdoptDontShop #fosteringsaveslives #EndSpeciesism Good Humans Only !! #metoo #animalstoo #MenToo #AnimalLiberation #Cl…,216736363,2022-10-09 20:02:22+00:00,en
"RT @Natas4President: Daily reminder @POTUS #DarkDankBrandon #LegalizeIt
🇺🇸 with world's largest Military wages 40 year of war against unarm…",462878461,2022-10-09 20:00:33+00:00,en
"Inkoopprijzen van 22:00 tot 23:00 
💡 € 0,140 
🔥 € 1,000
 
Laagste 💡 inkoopprijs, Finland (€ 0,014) 
Hoogste 💡 inkoopprijs, Griekenland (€ 0,265)

 #energieinkoopprijzen #savetheplanet #energierekening #energielabel",1553661110817005569,2022-10-09 20:00:00+00:00,nl
RT @FunWritings: #ChildrensBooks #Children #childrensbook #savetheplanet #ecokidsproject #fundraiser #amazon #environment #EnvironmentalSus…,126075164,2022-10-09 19:58:42+00:00,en
"RT @AjoraOrganic: #saveplants
#savesoil
#savetheplanet 
#saynotoplastic https://t.co/Mh4Wdtc2vB",1275783120273342465,2022-10-09 19:57:52+00:00,qme
RT @FunWritings: #ChildrensBooks #Children #childrensbook #savetheplanet #ecokidsproject #fundraiser #amazon #environment #EnvironmentalSus…,3233106448,2022-10-09 19:57:40+00:00,en
"#ChildrensBooks #Children #childrensbook #savetheplanet #ecokidsproject #fundraiser #amazon #environment #EnvironmentalSustainability #green #greenkids #climateaction #ClimateActionNow 

#environmentaleducation will inspire #climateaction
https://t.co/hWDuAFFgdp",3552463032,2022-10-09 19:55:00+00:00,en
"@sofizamolo That one 😊

Charity based token for climate change solution to make the better world! 🌏

#ClimateBSC #Climate #ClimateToken #ClimateChange #SaveThePlanet
Maybe you choose a foundation and make a donation ? https://t.co/UsmtWYxebT",1390293926171586564,2022-10-09 19:54:34+00:00,en
Over 90% of the UK businesses on our high streets leave their front doors wide open with heating on! #savetheplanet #CarbonFootprint #savemoney,1576523492404727808,2022-10-09 19:49:58+00:00,en
"@saylor @dergigi Take a 👀 on that one 😊
Charity based token for climate change solution to make the better world! 🌏

#ClimateBSC #Climate #ClimateToken #ClimateChange #SaveThePlanet https://t.co/tqTjBZlvSp",1390293926171586564,2022-10-09 19:49:20+00:00,en
@civilresistorCF @JustStop_Oil Solidarity with each and every one of you.  #JustStopOil #WhoVotedForThis #savetheplanet,38748384,2022-10-09 19:48:32+00:00,en
"Non posso accettare un packaging 100% NON riciclabile! @Pringles 
#boycottpringles #recycling #savetheplanet",379211403,2022-10-09 19:39:27+00:00,it
"RT @vastvalidate: Imagine a world where planting trees would be as normal as cutting them off.

#savetheplanet #savetrees #plantmoretrees #…",1419356905533751304,2022-10-09 19:37:08+00:00,en
"@Ralvero For sure if you take a 👀 here 😊

Charity based token for climate change solution to make the better world! 🌏

#ClimateBSC #Climate #ClimateToken #ClimateChange #SaveThePlanet",1390293926171586564,2022-10-09 19:37:04+00:00,en
RT @TheVeganDrakon: #ConsciousPlanet #adoptdontshop #EndSpeciesism Good Humans Only !!#animals #metoo #animalstoo #MenToo #AnimalLiberation…,1263056122379894790,2022-10-09 19:36:38+00:00,en
@MarshaBlackburn Shame on you aligning with our enemies #savetheplanet #GreenEarth #voteblue,184995065,2022-10-09 19:34:40+00:00,en
"RT @KathaKownatzki: Dear @CocaCola @CocaCola_De 
You can really make a difference.
You can inspire other companies.
You can do really green…",245776950,2022-10-09 19:33:03+00:00,en
#savetheplanet https://t.co/DBBVUO3MCG,296566772,2022-10-09 19:28:34+00:00,qht
"RT @warren_bwi: #GroveToken 
#protecttheearth #gogreen
#savetheplanet #reforestation
#savetheenvironment 
#planttrees #environmentalprotect…",1356614074763730959,2022-10-09 19:28:33+00:00,qme
"Roar of a Baby Lion.... 👇👇👇👇

🦁🦁🦁🦁🦁🦁🦁🦁🦁🦁🦁
😃😆😂🤣😃😆😂🤣😆😂😃

#Viral #ViralVideo #VideoViral #ViralVideos #Videos #VideoOfTheDay #savetheplanet #animal #AnimalLovers #LION https://t.co/1WFv9eZQQN",1455573295269507074,2022-10-09 19:25:00+00:00,en
"RT @Aphorisms_JP: ビーガン：私達は変化を生むから

#ビーガン #ヴィーガン #素食 #平和 #持続可能性 #菜食 #エシカル #プラントベース #クルエルティフリー #肉 #非暴力 #今日の言葉 #動物大好き #動物虐待反対 #純素 #優しさ #vegan…",847425165960949761,2022-10-09 19:22:57+00:00,ja
"RT @warren_bwi: #GroveToken 
#protecttheearth #gogreen
#savetheplanet #reforestation
#savetheenvironment 
#planttrees #environmentalprotect…",1458234640628596736,2022-10-09 19:21:21+00:00,qme
"RT @KathaKownatzki: Dear @CocaCola @CocaCola_De 
You can really make a difference.
You can inspire other companies.
You can do really green…",1520337416678256641,2022-10-09 19:21:20+00:00,en
"RT @2D_OS_GAMES: What's the easiest way to rid yourself of garbage? Toss it off the roof of course! .. Just kidding, don't do that. 🌎🌍🌏❤️@I…",1341457594913869826,2022-10-09 19:20:41+00:00,en
"RT @2D_OS_GAMES: What's the easiest way to rid yourself of garbage? Toss it off the roof of course! .. Just kidding, don't do that. 🌎🌍🌏❤️@I…",747758629256892418,2022-10-09 19:20:36+00:00,en
"RT @2D_OS_GAMES: What's the easiest way to rid yourself of garbage? Toss it off the roof of course! .. Just kidding, don't do that. 🌎🌍🌏❤️@I…",747760115084853248,2022-10-09 19:17:18+00:00,en
"RT @2D_OS_GAMES: What's the easiest way to rid yourself of garbage? Toss it off the roof of course! .. Just kidding, don't do that. 🌎🌍🌏❤️@I…",4061170096,2022-10-09 19:15:50+00:00,en
"RT @KathaKownatzki: Dear @CocaCola @CocaCola_De 
You can really make a difference.
You can inspire other companies.
You can do really green…",69271827,2022-10-09 19:15:21+00:00,en
"RT @KathaKownatzki: Dear @CocaCola @CocaCola_De 
You can really make a difference.
You can inspire other companies.
You can do really green…",82662151,2022-10-09 19:14:05+00:00,en
RT @TheVeganDrakon: #AdoptDontShop #fosteringsaveslives #EndSpeciesism Good Humans Only !! #metoo #animalstoo #MenToo #AnimalLiberation #Cl…,1464968384496418818,2022-10-09 19:13:59+00:00,en
"RT @BBNV82: If anyone knows of someone looking for a tree planter ( I have no experience mind ) will work for m/w, will relocate anywhere i…",69271827,2022-10-09 19:13:26+00:00,en
RT @TheVeganDrakon: #ConsciousPlanet #Consciouseating #metoo #animalstoo #MenToo #AnimalLiberation #ClimateCrisis #vegans #climate #savethe…,1464968384496418818,2022-10-09 19:13:06+00:00,qht
"Drop #meat, eat bugs, save the planet? 
Not so! #carnivorediet may be exactly the prescription for soil regeneration, provided it is done right. 

#regenerativeagriculture #savetheplanet #begood #cows",1165028655518703623,2022-10-09 19:13:04+00:00,en
"RT @KathaKownatzki: Dear @CocaCola @CocaCola_De 
You can really make a difference.
You can inspire other companies.
You can do really green…",1328342600873435138,2022-10-09 19:12:50+00:00,en
"RT @ORB_Series: “But unless you give them a sustainable, viable option with some sort of economic incentives, you can’t expect them to do a…",1328342600873435138,2022-10-09 19:12:42+00:00,en
"RT @Natas4President: Daily reminder @POTUS #DarkDankBrandon #LegalizeIt
🇺🇸 with world's largest Military wages 40 year of war against unarm…",1328342600873435138,2022-10-09 19:12:36+00:00,en
"RT @BBNV82: If anyone knows of someone looking for a tree planter ( I have no experience mind ) will work for m/w, will relocate anywhere i…",1328342600873435138,2022-10-09 19:12:31+00:00,en
RT @ProductConcerns: Single-use plastic is wreaking havoc on the planet. Here’s what you can do to minimize your impact https://t.co/kub7jp…,1328342600873435138,2022-10-09 19:12:29+00:00,en
"Dear @CocaCola @CocaCola_De 
You can really make a difference.
You can inspire other companies.
You can do really green instead of green washing, I know you can. 
Take your responsibility.
#SaveTheEarth #SaveThePlanet #PlasticFree @zdf @SZ @faznet https://t.co/UQ5mxwFSej",1253642747422138370,2022-10-09 19:11:07+00:00,en
RT @TheVeganDrakon: #AdoptDontShop #fosteringsaveslives #EndSpeciesism Good Humans Only !! #metoo #animalstoo #MenToo #AnimalLiberation #Cl…,1464968384496418818,2022-10-09 19:10:29+00:00,en
"RT @cibruc: ¿Ya sabes los daños que causan los residuos orgánicos al medio ambiente?
#nature #climatechange #savetheplanet #green #environm…",1563304663323004928,2022-10-09 19:01:58+00:00,es
"“But unless you give them a sustainable, viable option with some sort of economic incentives, you can’t expect them to do anything for conservation. They struggle for their daily needs,” Bhadury says.

#savetheoceans #nature #savetheplanet #environment

https://t.co/ZgKRSX97PY https://t.co/rMHXObp00y",1534526553870172162,2022-10-09 19:00:01+00:00,en
"RT @Natas4President: Daily reminder @POTUS #DarkDankBrandon #LegalizeIt
🇺🇸 with world's largest Military wages 40 year of war against unarm…",1086002258972721152,2022-10-09 18:57:31+00:00,en
"Daily reminder @POTUS #DarkDankBrandon #LegalizeIt
🇺🇸 with world's largest Military wages 40 year of war against unarmed #cannabis🪴,🪴 still winning!
#CannabisCommunity #420community
#cannabisgenetics #thc #cannabinoids #terpenes #savetheplanet 💚 #Hemp 🌱
#SaveTheBees 🐝 https://t.co/1khDz6otfA",783016479528718337,2022-10-09 18:57:25+00:00,en
"If anyone knows of someone looking for a tree planter ( I have no experience mind ) will work for m/w, will relocate anywhere in the uk. Or any jobs helping the environment or helping animals please DM me. I want out of the factory life. #savetheplanet",1569774554490490882,2022-10-09 18:54:08+00:00,en
"Single-use plastic is wreaking havoc on the planet. Here’s what you can do to minimize your impact https://t.co/kub7jpVMHp

#Plastic  #Environment  #SaveThePlanet",2970911163,2022-10-09 18:50:00+00:00,en
"RT @cibruc: ¿Ya sabes los daños que causan los residuos orgánicos al medio ambiente?
#nature #climatechange #savetheplanet #green #environm…",1014467142924886016,2022-10-09 18:47:59+00:00,es
#ConsciousPlanet #Consciouseating #metoo #animalstoo #MenToo #AnimalLiberation #ClimateCrisis #vegans #climate #savetheplanet #animalagricultureclimatechange #RosesLaw #ALLFEMALES #Animalrights #Feminist #Feminism  #Feminismo #peterkalmus #georgemonbiot #EndSpeciesism #JaneFonda https://t.co/nGMmxtxndY,56029738,2022-10-09 18:46:16+00:00,qht
#ConsciousPlanet #Consciouseating #metoo #animalstoo #MenToo #AnimalLiberation #ClimateCrisis #vegans #climate #savetheplanet #animalagricultureclimatechange #RosesLaw #ALLFEMALES #Animalrights #Feminist #Feminism  #Feminismo #peterkalmus #georgemonbiot #EndSpeciesism #JaneFonda https://t.co/Q6NkgxcI3O,56029738,2022-10-09 18:45:50+00:00,qht
#ConsciousPlanet #Consciouseating #metoo #animalstoo #MenToo #AnimalLiberation #ClimateCrisis #vegans #climate #savetheplanet #animalagricultureclimatechange #RosesLaw #ALLFEMALES #Animalrights #Feminist #Feminism  #Feminismo #peterkalmus #georgemonbiot #EndSpeciesism #JaneFonda https://t.co/HkedHCL6vM,56029738,2022-10-09 18:45:33+00:00,qht
#ConsciousPlanet #Consciouseating #metoo #animalstoo #MenToo #AnimalLiberation #ClimateCrisis #vegans #climate #savetheplanet #animalagricultureclimatechange #RosesLaw #ALLFEMALES #Animalrights #Feminist #Feminism  #Feminismo #peterkalmus #georgemonbiot #EndSpeciesism #JaneFonda https://t.co/bKx30E3oS8,56029738,2022-10-09 18:45:09+00:00,qht
#ConsciousPlanet #Consciouseating #metoo #animalstoo #MenToo #AnimalLiberation #ClimateCrisis #vegans #climate #savetheplanet #animalagricultureclimatechange #RosesLaw #ALLFEMALES #Animalrights #Feminist #Feminism  #Feminismo #peterkalmus #georgemonbiot #EndSpeciesism #JaneFonda https://t.co/BzMvgYjvl7,56029738,2022-10-09 18:44:45+00:00,qht
#ConsciousPlanet #Consciouseating #metoo #animalstoo #MenToo #AnimalLiberation #ClimateCrisis #vegans #climate #savetheplanet #animalagricultureclimatechange #RosesLaw #ALLFEMALES #Animalrights #Feminist #Feminism  #Feminismo #peterkalmus #georgemonbiot #EndSpeciesism #JaneFonda https://t.co/npdtqB4XiK,56029738,2022-10-09 18:44:31+00:00,qht
"@MedusaWorld_DAO I had a blast with Tai, happy to see him growing and being conscious that each actions generates a consequence. Glad to see the kids spntaneously joining our cleanups #SaveThePlanet #ImpactNFT ♻️♻️",229438954,2022-10-09 18:42:46+00:00,en
