name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon
DC,2020-09-01,81.7,68.9,74.2,85,68.9,74.5,68.1,81.8,0.09,100,4.17,rain,0,0,NA,8.7,76.1,1017.3,72,9.7,67.9,5.9,3,"Rain, Partially cloudy",rain
DC,2020-09-02,87.1,74.6,79.6,96.5,74.6,83.4,73.7,82.7,0.02,100,8.33,rain,0,0,17.2,15.4,192,1012.5,66.2,9.8,78.6,6.7,4,"Rain, Partially cloudy",rain
DC,2020-09-03,90.9,76.4,81.6,101.5,76.4,85,74.3,79.6,0.37,100,8.33,rain,0,0,29.8,21,131.5,1009.8,47.8,9.6,93.9,8,5,"Rain, Partially cloudy",rain
DC,2020-09-04,89.8,72.8,80.2,92.5,72.8,81.7,69.5,71.9,0.01,100,4.17,rain,0,0,25.3,14.2,252.7,1013.1,34.9,9.9,35.7,3.1,1,"Rain, Partially cloudy",rain
DC,2020-09-05,80.9,64,73.1,80.6,64,73,54.3,53.8,0,0,0,NA,0,0,NA,9.9,236.3,1022.7,35,9.9,72.7,6.2,5,Partially cloudy,partly-cloudy-day
DC,2020-09-06,82.8,62.5,72.8,82.6,62.5,72.9,59.8,65.5,0,0,0,NA,0,0,NA,10.8,153.5,1022.1,17.7,9.9,69.1,5.9,5,Clear,clear-day
DC,2020-09-07,82.8,64.4,73.3,83.8,64.4,73.5,61.3,67.6,0,0,0,NA,0,0,NA,9.1,151.1,1018.5,41.9,9.9,66.7,5.7,4,Partially cloudy,partly-cloudy-day
DC,2020-09-08,85.7,65.5,75.8,87.8,65.5,76.8,65.8,72.3,0,0,0,NA,0,0,NA,7.5,74.2,1019.9,50.8,9.9,63.7,5.5,4,Partially cloudy,partly-cloudy-day
DC,2020-09-09,78.8,72.8,75.4,78.8,72.8,75.4,72.1,89.5,0.66,100,33.33,rain,0,0,NA,15.8,44.6,1023.5,75.2,8.5,38.6,3.4,1,"Rain, Partially cloudy",rain
DC,2020-09-10,79.9,75.6,77.2,79.9,75.6,77.2,74.8,92.2,2.67,100,29.17,rain,0,0,17.2,9.2,95.3,1022,77.5,7.6,43.6,3.7,2,"Rain, Partially cloudy",rain
DC,2020-09-11,79.9,74.6,76.7,79.9,74.6,76.7,71,83.1,0,0,0,NA,0,0,20.8,15.6,144.4,1020.7,84.5,9.7,41.2,3.5,1,Partially cloudy,partly-cloudy-day
DC,2020-09-12,74.8,66.4,71.5,74.8,66.4,71.5,63.4,76.2,0,0,0,NA,0,0,19.7,11,74.8,1023.1,73,9.9,47,4.2,2,Partially cloudy,partly-cloudy-day
DC,2020-09-13,80,61.7,71.5,82.2,61.7,71.6,62.8,74.8,0,0,0,NA,0,0,NA,11.1,125.7,1019.6,32.2,9.9,59.6,5.1,3,Partially cloudy,partly-cloudy-day
DC,2020-09-14,78.9,66.2,73.8,78.9,66.2,73.8,61.3,66.6,0,0,0,NA,0,0,29.8,15.5,200.9,1020.7,57.8,9.9,69,6.1,3,Partially cloudy,partly-cloudy-day
DC,2020-09-15,69.8,55.5,62.6,69.8,55.5,62.6,47.4,58.3,0,0,0,NA,0,0,25.3,14.1,51.4,1026.4,68.2,9.9,64.5,5.7,3,Partially cloudy,partly-cloudy-day
DC,2020-09-16,73.1,55.5,64.3,73.1,55.5,64.3,55.1,73.4,0,0,0,NA,0,0,NA,9.9,159.8,1023,62.6,9.9,134.7,11.8,6,Partially cloudy,partly-cloudy-day
DC,2020-09-17,73.1,65.6,69.3,73.1,65.6,69.3,62.9,80.5,0.37,100,29.17,rain,0,0,NA,8.5,67.3,1016.8,78.5,9.2,52.3,4.5,2,"Rain, Partially cloudy",rain
DC,2020-09-18,74.7,63.7,68.7,74.7,63.7,68.7,59.2,73.4,0.09,100,16.67,rain,0,0,29.3,18.4,131.1,1014.9,64.7,9.3,126.5,10.9,4,"Rain, Partially cloudy",rain
DC,2020-09-19,65.7,49.6,58.2,65.7,44.6,58,36.8,45.9,0,0,0,NA,0,0,27.7,18.6,84.1,1026.4,29.9,9.9,193.9,16.7,7,Partially cloudy,partly-cloudy-day
DC,2020-09-20,68.8,46.6,57.7,68.8,43.2,57,41.9,58.5,0,0,0,NA,0,0,18.3,13.5,146.7,1031.4,16.3,9.9,190.2,16.4,7,Clear,clear-day
DC,2020-09-21,66.6,49.3,57.8,66.6,46,57.3,40.8,55.4,0,0,0,NA,0,0,21.8,13.4,89.5,1032.9,17.3,9.9,191.8,16.6,7,Clear,clear-day
DC,2020-09-22,71.8,47.4,59.4,71.8,45,59.2,43.2,58.1,0,0,0,NA,0,0,19.7,10.2,257.9,1022.5,11.9,9.9,185.5,16,6,Clear,clear-day
DC,2020-09-23,80,55.7,67.8,80,55.7,67.8,49.8,54.1,0,0,0,NA,0,0,21.7,11.1,271.5,1015.8,46.7,9.9,183.7,15.9,6,Partially cloudy,partly-cloudy-day
DC,2020-09-24,71.8,60.8,66.2,71.8,60.8,66.2,58.7,77.1,0,0,0,NA,0,0,NA,9.9,173.1,1016.4,76.3,9.9,53.4,4.7,2,Partially cloudy,partly-cloudy-day
DC,2020-09-25,68,61.7,64.7,68,61.7,64.7,60.8,87.6,0.06,100,16.67,rain,0,0,NA,9.9,146.9,1019,69.7,9.8,55.9,4.9,2,"Rain, Partially cloudy",rain
DC,2020-09-26,71.7,62.8,66.7,71.7,62.8,66.7,63.6,90.1,0.62,100,37.5,rain,0,0,NA,8.9,138.6,1017,90.2,7.9,62.1,5.2,2,"Rain, Overcast",rain
DC,2020-09-27,76.9,67.9,71.2,76.9,67.9,71.2,66.9,86.9,0.04,100,12.5,rain,0,0,NA,6.6,157.7,1014.3,83.7,7.9,82.7,7.1,4,"Rain, Partially cloudy",rain
DC,2020-09-28,80.1,66.7,72.4,83,66.7,72.6,67,83.7,0.01,100,4.17,rain,0,0,NA,11.2,185,1011.9,62.1,9.9,130,11.5,5,"Rain, Partially cloudy",rain
DC,2020-09-29,79.1,56.8,70.9,79.1,56.8,70.9,64.8,81.4,0.05,100,8.33,rain,0,0,30.6,15.9,220.3,1009.1,67.3,9.8,113.6,9.7,6,"Rain, Partially cloudy",rain
DC,2020-09-30,70.9,55.9,62.6,70.9,55.9,62.6,52.2,71.2,0.25,100,25,rain,0,0,21.5,16.6,224.3,1009.3,39.3,9.7,126.5,11,6,"Rain, Partially cloudy",rain
DC,2020-10-01,75.7,56.6,64.7,75.7,56.6,64.7,54,69.9,0.01,100,4.17,rain,0,0,NA,12,236.1,1013.7,48.7,9.9,128.6,11.1,6,"Rain, Partially cloudy",rain
DC,2020-10-02,67.7,56.1,60.7,67.7,56.1,60.7,48.7,67.4,0.1,100,29.17,rain,0,0,24,14.6,246.6,1017.3,50.3,9.9,110.3,9.5,6,"Rain, Partially cloudy",rain
DC,2020-10-03,67.8,48.6,58.1,67.8,44.9,57.8,41.9,57,0,0,0,NA,0,0,16.1,12.1,279.7,1023.7,13.3,9.9,166.2,14.4,6,Clear,clear-day
DC,2020-10-04,68.9,47.4,58.7,68.9,44.9,58.5,46.8,67.3,0,0,0,NA,0,0,NA,7.4,187.2,1022.6,33.2,9.9,152.4,13.1,6,Partially cloudy,partly-cloudy-day
DC,2020-10-05,69,55,61.5,69,55,61.5,48.6,64.4,0.02,100,8.33,rain,0,0,25.3,16.9,271,1021.3,58,9.9,120.5,10.5,6,"Rain, Partially cloudy",rain
DC,2020-10-06,71.9,48.4,60.5,71.9,46.9,60.4,51.2,72.7,0,0,0,NA,0,0,NA,12.2,195,1019.7,18.5,9.9,159.2,13.9,6,Clear,clear-day
DC,2020-10-07,80,55.6,67.7,80,55.6,67.7,55.3,68.1,0,0,0,NA,0,0,25.9,17.4,227.3,1010.9,29.4,9.9,156.3,13.5,6,Partially cloudy,partly-cloudy-day
DC,2020-10-08,70.9,57.2,64.1,70.9,57.2,64.1,45.8,52.6,0,0,0,NA,0,0,28.4,17.1,315.5,1017.6,14.4,9.9,153.3,13.2,6,Clear,clear-day
DC,2020-10-09,70,49.6,60.2,70,47.6,60.1,47.2,64,0,0,0,NA,0,0,NA,13.5,147.9,1023.2,47.3,9.9,135.3,11.7,5,Partially cloudy,partly-cloudy-day
DC,2020-10-10,73,59.6,65.3,73,59.6,65.3,58.9,80,0,0,0,NA,0,0,20.8,11.5,198.4,1017.9,90.3,9.9,57.9,5,3,Overcast,cloudy
DC,2020-10-11,70.9,65.6,67.5,70.9,65.6,67.5,64.6,90.5,0.53,100,41.67,rain,0,0,NA,11,140.7,1017.1,95.4,8.6,36.6,3.1,1,"Rain, Overcast",rain
DC,2020-10-12,65.8,57.8,61.8,65.8,57.8,61.8,59.9,93.7,1,100,70.83,rain,0,0,29.6,20.8,64.8,1014.9,99.7,4.1,37.9,3.2,1,"Rain, Overcast",rain
DC,2020-10-13,71.8,56.1,62,71.8,56.1,62,53.9,77,0.01,100,4.17,rain,0,0,25.6,16.9,330,1013.8,70.3,9.1,96.2,8.3,5,"Rain, Partially cloudy",rain
DC,2020-10-14,73,49.8,60.6,73,47.6,60.4,49.1,67.8,0,0,0,NA,0,0,17.2,13,210.7,1017.2,22.7,9.9,145.2,12.7,6,Partially cloudy,partly-cloudy-day
DC,2020-10-15,75.7,55.7,65.3,75.7,55.7,65.3,56.1,73.1,0,0,0,NA,0,0,28.5,17.9,190.6,1015.2,32.1,9.9,142.8,12.3,6,Partially cloudy,partly-cloudy-day
DC,2020-10-16,66.6,54.7,59,66.6,54.7,59,50.4,73.6,0.17,100,12.5,rain,0,0,16.1,14.9,190.5,1019.2,92.9,9.9,31.8,2.7,2,"Rain, Overcast",rain
DC,2020-10-17,62.8,45.6,53.9,62.8,40.8,52.9,38.3,58.1,0,0,0,NA,0,0,19.7,11.4,265.2,1027,20.2,9.9,134.7,11.5,5,Partially cloudy,partly-cloudy-day
DC,2020-10-18,64.9,45.3,55.9,64.9,42.5,55.5,46.4,71.9,0,0,0,NA,0,0,NA,10,119.5,1029.2,49.7,9.9,115,9.8,5,Partially cloudy,partly-cloudy-day
DC,2020-10-19,71.8,56.2,62.7,71.8,56.2,62.7,55.7,79,0,0,0,NA,0,0,NA,9.3,149,1025.5,72.7,9.9,94.1,8,3,Partially cloudy,partly-cloudy-day
DC,2020-10-20,74.9,58.4,64.6,74.9,58.4,64.6,59.1,83.5,0,0,0,NA,0,0,NA,7.4,161.5,1023.5,71.3,8.3,111.5,9.7,5,Partially cloudy,partly-cloudy-day
DC,2020-10-21,75.1,61.7,67.2,75.1,61.7,67.2,64.3,90.9,0.01,100,4.17,rain,0,0,NA,9.1,134.3,1023.9,56.1,6.3,88.1,7.7,5,"Rain, Partially cloudy",rain
DC,2020-10-22,80.1,60.8,68.6,81.9,60.8,68.8,63.3,84.7,0,0,0,NA,0,0,NA,7.7,135.7,1023.1,26.7,7.2,122.1,10.6,5,Partially cloudy,partly-cloudy-day
DC,2020-10-23,76.9,62.5,67.9,76.9,62.5,67.9,62.2,83.2,0,0,0,NA,0,0,NA,10.3,155.6,1020.6,51.9,8.1,92.4,7.9,4,Partially cloudy,partly-cloudy-day
DC,2020-10-24,76.9,60.9,66.6,76.9,60.9,66.6,58.2,76.1,0,0,0,NA,0,0,20.8,15.6,262.9,1015.5,78.5,9.9,91.2,7.9,4,Partially cloudy,partly-cloudy-day
DC,2020-10-25,57.9,46.9,49.8,57.9,42.2,46.2,44.4,82.2,0.44,100,37.5,rain,0,0,17.2,14.2,65.3,1022.1,98.9,8.2,23.1,2,1,"Rain, Overcast",rain
DC,2020-10-26,62.1,47.9,54.3,62.1,42.7,52.8,50.8,88.1,0,0,0,NA,0,0,NA,12.2,222.2,1020.9,93.5,8.3,57,4.8,2,Overcast,cloudy
DC,2020-10-27,65,57.7,61.2,65,57.7,61.2,55.8,83.2,0,0,0,NA,0,0,NA,8.8,142.3,1021.5,96.5,9.4,50.1,4.4,2,Overcast,cloudy
DC,2020-10-28,70.2,61.8,65.4,70.2,61.8,65.4,61.2,86.7,0,0,0,NA,0,0,NA,12.5,165.9,1016.9,94,8.8,56.9,5,3,Overcast,cloudy
DC,2020-10-29,64,52.9,58.8,64,52.9,58.8,56.4,91.9,2.27,100,75,rain,0,0,25,18.2,138.6,1005.1,99.3,6.4,17,1.5,1,"Rain, Overcast",rain
DC,2020-10-30,53.8,48.7,51.1,53.8,43.4,49,44.2,77.9,0.33,100,20.83,rain,0,0,28.4,19.8,254.5,1013,87.6,9.6,58.8,5.1,2,"Rain, Partially cloudy",rain
DC,2020-10-31,49.8,40.8,46.8,47,37.1,42.9,37.3,69.6,0,0,0,NA,0,0,NA,14,161,1031.1,85.1,9.9,56.3,4.8,3,Partially cloudy,partly-cloudy-day
DC,2020-11-01,58.9,44,51.8,58.9,36.5,50,43.2,74.7,0.52,100,16.67,rain,0,0,41.6,27.3,225.5,1017.2,90.9,9.3,30.5,2.7,2,"Rain, Overcast",rain
DC,2020-11-02,49.8,38.8,43.6,44.6,29.4,36.8,20.8,40.5,0,0,0,NA,0,0,46.7,31.4,273,1018.2,33.7,9.9,106.3,9.2,5,Partially cloudy,wind
DC,2020-11-03,64.8,39.5,51.5,64.8,33.6,49.8,27.2,41,0,0,0,NA,0,0,33.7,20.3,244.3,1021,47.1,9.9,108.7,9.4,5,Partially cloudy,partly-cloudy-day
DC,2020-11-04,66.1,41.5,52.6,66.1,41.1,52.5,41.4,68.7,0,0,0,NA,0,0,NA,10.7,155.3,1030.2,3,9.8,108.3,9.4,5,Clear,clear-day
DC,2020-11-05,67.1,47.5,56.1,67.1,47.5,56,46.3,72.5,0,0,0,NA,0,0,NA,12.2,176.2,1029.3,42.7,9.4,102,8.9,5,Partially cloudy,partly-cloudy-day
DC,2020-11-06,70.3,49.7,56.8,70.3,49.7,56.8,48.8,77.2,0,0,0,NA,0,0,NA,9.6,157,1026.2,48.2,9.4,94.2,8.1,5,Partially cloudy,partly-cloudy-day
DC,2020-11-07,73.4,46.5,57.7,73.4,46.5,57.7,47.4,72.4,0,0,0,NA,0,0,NA,6.6,160.8,1026.4,11.2,9,102.6,8.8,5,Clear,clear-day
DC,2020-11-08,74.2,49.5,60,74.2,49.5,60,52.5,78.2,0,0,0,NA,0,0,NA,8.3,91.4,1028.3,18.4,8.4,98.3,8.6,5,Clear,clear-day
DC,2020-11-09,74.2,52.6,61.6,74.2,52.6,61.6,55.1,80.9,0,0,0,NA,0,0,NA,9,143.6,1027.1,22.6,9.2,99.2,8.6,5,Partially cloudy,partly-cloudy-day
DC,2020-11-10,75,53.7,63.4,75,53.7,63.4,56.9,80.5,0,0,0,NA,0,0,18.4,12.4,154,1022.3,33.6,9.9,98.4,8.3,5,Partially cloudy,partly-cloudy-day
DC,2020-11-11,69.2,61.9,66.2,69.2,61.9,66.2,64.9,95.6,1.11,100,58.33,rain,0,0,20.8,12.5,189.9,1015.9,90.6,7.3,9.5,0.8,0,"Rain, Overcast",rain
DC,2020-11-12,69.1,51.8,59.3,69.1,51.8,59.3,54.9,85.6,1.77,100,50,rain,0,0,26.4,17.1,141.5,1015.3,99,7.9,10.8,0.8,1,"Rain, Overcast",rain
DC,2020-11-13,61,48.7,53.8,61,46.6,53.5,42,65.3,0,0,0,NA,0,0,21.9,12.4,261.2,1017.2,59.6,9.9,75.3,6.3,4,Partially cloudy,partly-cloudy-day
DC,2020-11-14,60.9,41.6,51.6,60.9,39.1,51,36.3,57.6,0,0,0,NA,0,0,NA,10.3,233.8,1022.7,34.1,9.9,91.8,7.9,4,Partially cloudy,partly-cloudy-day
DC,2020-11-15,70.9,48.2,57.8,70.9,46.4,57.4,47.9,70.4,0.25,100,8.33,rain,0,0,39.7,20.1,164.5,1015,88.1,9.6,40.6,3.6,3,"Rain, Partially cloudy",rain
DC,2020-11-16,62,49.5,54.5,62,46.5,54.2,24.6,32.4,0,0,0,NA,0,0,32.2,17.5,291.7,1016.8,3,9.9,90.2,7.6,4,Clear,clear-day
DC,2020-11-17,56.8,38.9,46.5,56.8,31.3,42.5,25.8,44.9,0,0,0,NA,0,0,39.8,22.2,277.5,1019.3,48.7,9.9,73.8,6.5,4,Partially cloudy,partly-cloudy-day
DC,2020-11-18,44.8,36.2,39.5,38,28.6,33.2,21.7,48.9,0,0,0,NA,0,0,26.5,20.1,275.5,1033.6,41,9.9,76.9,6.5,5,Partially cloudy,partly-cloudy-day
DC,2020-11-19,52,31.5,42.6,52,27.3,39.6,28.2,58.5,0,0,0,NA,0,0,27.2,17.8,205.4,1034.8,51.5,9.9,77.8,6.7,4,Partially cloudy,partly-cloudy-day
DC,2020-11-20,63,43,51.2,63,38.3,49.6,35,54.7,0,0,0,NA,0,0,NA,15.4,213.3,1028.8,30.2,9.9,83.8,7.1,4,Partially cloudy,partly-cloudy-day
DC,2020-11-21,63.8,45.8,54.8,63.8,44.6,54.7,45.2,70.7,0,0,0,NA,0,0,NA,7.7,110.8,1028.1,78.2,9.9,33.3,2.8,1,Partially cloudy,partly-cloudy-day
DC,2020-11-22,57.8,51.1,54.8,57.8,51.1,54.8,44.8,69.3,0,0,0,NA,0,0,NA,11.1,66.1,1025.4,94.3,9.9,47,4,3,Overcast,cloudy
DC,2020-11-23,57.8,45.9,51.7,57.8,40.8,49.8,37.6,60.9,0.02,100,8.33,rain,0,0,40.8,24.9,287,1019.7,67.8,9.6,77.6,6.7,4,"Rain, Partially cloudy",rain
DC,2020-11-24,51.9,38.7,45.9,51.9,34.5,43,28.3,50.6,0,0,0,NA,0,0,NA,9.8,230.4,1028.4,60.3,9.9,76.8,6.5,4,Partially cloudy,partly-cloudy-day
DC,2020-11-25,56,44.7,50.2,56,38.4,48.1,40.3,69.1,0,0,0,NA,0,0,25.1,17.7,170.8,1025.2,87.4,9.9,65.2,5.6,3,Partially cloudy,partly-cloudy-day
DC,2020-11-26,66.9,50.8,59,66.9,50.8,59,52.2,79.2,0.06,100,20.83,rain,0,0,24.2,12.5,202.7,1017.1,67.6,9.8,61.8,5.2,4,"Rain, Partially cloudy",rain
DC,2020-11-27,61,52.4,56.4,61,52.4,56.4,46.4,69.6,0,0,0,NA,0,0,NA,5.6,142,1018.2,97.7,9.9,33.4,2.8,2,Overcast,cloudy
DC,2020-11-28,60.9,45.6,52.5,60.9,43.6,52.1,37.9,61.5,0,0,0,NA,0,0,29.8,15.1,249.9,1018.1,33.6,9.9,71.3,6.1,4,Partially cloudy,partly-cloudy-day
DC,2020-11-29,57,37.3,47.8,57,34,47,33.8,59.5,0,0,0,NA,0,0,NA,10,159.4,1021,37.2,9.9,72.6,6.3,4,Partially cloudy,partly-cloudy-day
DC,2020-11-30,64,50,57,64,46.8,56.9,52.2,84.4,2.43,100,54.17,rain,0,0,36.7,13.1,172.6,1001.1,97.1,7.6,16.8,1.5,1,"Rain, Overcast",rain
DC,2020-12-01,48.7,39.8,44.5,45.5,34.7,39.3,28.6,54.5,0.02,100,8.33,rain,0,0,29.8,17.9,280.3,1006.2,90.4,9.9,48,4.1,3,"Rain, Overcast",rain
DC,2020-12-02,49.8,35.8,42.3,46.1,30.3,36.5,21.9,45.3,0,0,0,NA,0,0,37.2,23.6,267.1,1019.3,44.9,9.9,66,5.8,4,Partially cloudy,partly-cloudy-day
DC,2020-12-03,53.9,32.4,43.4,53.9,31.9,42.4,26.7,53.5,0,0,0,NA,0,0,NA,9.2,155,1024.7,56.6,9.9,67,5.8,3,Partially cloudy,partly-cloudy-day
DC,2020-12-04,53.2,47,49.3,53.2,42.8,47.2,35.3,59.7,0.28,100,16.67,rain,0,0,NA,10.2,163.3,1017.4,95.7,9.3,21.6,1.8,1,"Rain, Overcast",rain
DC,2020-12-05,48.7,43.9,46.3,43.7,36.7,39.9,35,67,0.99,100,29.17,rain,0,0,39.4,26.9,269.5,1011,94,8.7,39.9,3.4,2,"Rain, Overcast",rain
DC,2020-12-06,46,34.9,40.9,41.2,27,33.7,24.1,51.4,0,0,0,NA,0,0,48.3,17.9,320.4,1014.9,54.3,9.9,71,6.2,3,Partially cloudy,partly-cloudy-day
DC,2020-12-07,41.9,32.9,36.1,38.7,26.5,30.2,22.5,57.8,0,0,0,NA,0,0,23,13.7,303.4,1011.2,69.4,9.9,53.9,4.6,3,Partially cloudy,partly-cloudy-day
DC,2020-12-08,46.9,33.1,38.2,40.3,22.9,30.1,20.4,49,0,0,0,NA,0,0,31.6,22.5,310,1012.2,14.6,9.9,67.6,5.7,3,Clear,clear-day
DC,2020-12-09,44,30.4,36.7,41.6,24.7,32.7,24.5,61.4,0,0,0,NA,0,0,NA,9.9,194.7,1012.9,59.2,9.9,38.3,3.3,2,Partially cloudy,partly-cloudy-day
DC,2020-12-10,51.3,31.5,40.3,51.3,27.3,39.4,32.3,74.2,0,0,0,NA,0,0,NA,9.9,99.8,1020.4,6.9,9,63.5,5.5,3,Clear,clear-day
DC,2020-12-11,61,35.7,46.8,61,31.6,45.3,38.1,73.8,0,0,0,NA,0,0,20.7,13.6,187.5,1021.5,39.9,8.8,67.6,5.8,3,Partially cloudy,partly-cloudy-day
DC,2020-12-12,62.9,41.1,50.8,62.9,40.8,50.6,44.2,79.5,0,0,0,NA,0,0,25.3,15.6,133.8,1016.7,69.2,8.3,44.6,3.6,2,Partially cloudy,partly-cloudy-day
DC,2020-12-13,65.9,46.3,54.1,65.9,41.6,52.8,43.4,68.5,0,0,0,NA,0,0,NA,13.4,199,1016.1,65.9,9.9,67.6,5.9,3,Partially cloudy,partly-cloudy-day
DC,2020-12-14,45.5,38.8,42.1,42.5,30.4,36.5,34.9,76,1.07,100,41.67,rain,0,0,29.2,20.1,167,1015.7,93.7,8.3,12.8,1.1,1,"Rain, Overcast",rain
DC,2020-12-15,42.1,32.8,36.6,38.3,25,30.7,21.1,53.5,0,0,0,NA,0,0,18.3,14.6,270,1026.7,61.3,9.9,61.6,5.4,3,Partially cloudy,partly-cloudy-day
DC,2020-12-16,37,31.6,33.5,29.4,21.4,24.7,27.5,79.2,1.1,100,54.17,"rain,snow",0.8,0.2,32.8,21.3,75.8,1019.7,96.3,6.8,7.4,0.6,0,"Snow, Rain, Overcast",snow
DC,2020-12-17,40.8,28,33.6,35,18.2,25.7,26.2,74.7,0.02,100,8.33,"rain,snow",0.5,0.9,32.7,16.8,290.8,1016,46.1,9.8,30.4,2.5,1,"Snow, Rain, Partially cloudy",snow
DC,2020-12-18,38.8,30.7,35,35.3,23,29.4,26.7,71.6,0,0,0,NA,0,0.1,NA,9.6,259.8,1026.9,92.9,9.7,24.4,2.2,1,Overcast,cloudy
DC,2020-12-19,37.1,27.7,32.6,32.9,22.1,28.3,24.6,72.2,0,0,0,NA,0,0,NA,9.2,132.4,1029.3,79.8,9.9,45,3.9,2,Partially cloudy,partly-cloudy-day
DC,2020-12-20,44,33.6,39.8,41.9,28.9,35.5,34,79.7,0,0,0,NA,0,0,20.8,13.7,173,1019.8,92.2,9.9,33.1,2.9,2,Overcast,cloudy
DC,2020-12-21,46.4,39.7,42,42.2,35.9,38.7,37.8,85,0.03,100,4.17,rain,0,0,NA,10.1,191.7,1011.3,92,8.1,55.8,4.7,3,"Rain, Overcast",rain
DC,2020-12-22,50.9,39.7,44.8,50.9,35,40,32.7,63.9,0.01,100,4.17,rain,0,0,39.8,24.6,271.5,1015.7,64,9.8,45,3.8,2,"Rain, Partially cloudy",rain
DC,2020-12-23,47.1,31.5,40.3,42.5,26.8,36.9,30.7,69.3,0,0,0,NA,0,0,NA,14.8,150.8,1027.6,61.1,9.9,57.4,5,3,Partially cloudy,partly-cloudy-day
DC,2020-12-24,61,42.8,53.2,61,38.3,52.2,48.3,83.7,0.99,100,45.83,rain,0,0,29.9,20.4,125.6,1011.9,98.3,8.6,13.7,1.1,1,"Rain, Overcast",rain
DC,2020-12-25,56.9,25,35.8,56.9,14,27.5,24.4,64.6,0.49,100,25,rain,0,0,35.6,18,283.8,1004.6,90.9,9.6,25.7,2.1,1,"Rain, Overcast",rain
DC,2020-12-26,35.8,23,29.2,33.4,13.9,21.4,10.6,45.7,0,0,0,NA,0,0,21.9,12.7,261.4,1017.3,58.3,9.9,57.7,5.1,3,Partially cloudy,partly-cloudy-day
DC,2020-12-27,42,25.5,33.8,38.2,19.2,29.4,21.3,60.6,0,0,0,NA,0,0,NA,10.7,141.5,1025.4,68.3,9.9,65.9,5.6,3,Partially cloudy,partly-cloudy-day
DC,2020-12-28,52.4,35,42.9,52.4,29.1,38.5,31.6,65,0,0,0,NA,0,0,19.7,12.1,203.8,1022,67.4,9.9,61.7,5.2,3,Partially cloudy,partly-cloudy-day
DC,2020-12-29,43.1,32.5,38.8,36.6,27.6,32,19.2,46.1,0,0,0,NA,0,0,32.9,20.3,303.1,1031.8,27,9.9,69.4,6,3,Partially cloudy,partly-cloudy-day
DC,2020-12-30,46,31.5,38.8,39.5,24.6,33,22.7,52.8,0,0,0,NA,0,0,27.6,18,158.3,1029.1,80.6,9.9,66.4,5.5,3,Partially cloudy,partly-cloudy-day
DC,2020-12-31,55,41,47,55,34,42.5,37.7,70.7,0,0,0,NA,0,0,29.6,17.9,174.7,1022.4,92.3,9.9,42.1,3.4,2,Overcast,cloudy
DC,2021-01-01,40.8,35.9,37.6,34.8,28.7,31.8,30.3,75.8,0.81,100,41.67,rain,0,0,20.8,16.2,100,1027.8,99.6,8.3,12.8,1.2,1,"Rain, Overcast",rain
DC,2021-01-02,56.9,37,44.9,56.9,31.5,41.9,39,81.2,0,0,0,NA,0,0,26.4,14,220.9,1015.2,89.8,8.4,38.1,3.4,2,Partially cloudy,partly-cloudy-day
DC,2021-01-03,43,38.9,40.6,42.7,31.8,35.9,37.1,87.7,0.28,100,29.17,rain,0,0,NA,11.3,173.1,1015.8,98.4,8.5,12.3,1,0,"Rain, Overcast",rain
DC,2021-01-04,46.1,34.7,40.5,44,29.8,36.9,34.2,78.8,0,0,0,NA,0,0,NA,9.8,305.9,1016.1,81,9.6,37.8,3.1,2,Partially cloudy,partly-cloudy-day
DC,2021-01-05,42.8,39.6,40.9,41.8,32.4,37.3,35,79.3,0.03,100,4.17,rain,0,0,NA,12.3,280.6,1014.4,99.5,9.7,16.5,1.3,1,"Rain, Overcast",rain
DC,2021-01-06,42.9,38.6,40.5,35.3,32.3,33.3,28.9,63.4,0,0,0,NA,0,0,30.9,21,319.7,1020,99.4,9.9,22.9,2.1,1,Overcast,cloudy
DC,2021-01-07,46.9,33.8,39.7,42.4,26.4,33.3,26.1,58.8,0,0,0,NA,0,0,31.8,19.3,328.5,1021.9,47.6,9.9,73.8,6.5,4,Partially cloudy,partly-cloudy-day
DC,2021-01-08,37.9,33.8,35.5,34.3,24.9,29.3,24.2,63.4,0,0,0,NA,0,0,NA,13.4,233.7,1016.4,87.8,9.9,25.3,2.1,2,Partially cloudy,partly-cloudy-day
